Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-obs.cdss.ig.json	4484	-	0	0	0	0	0	0	4	55	0	0	0	0	0	0	0	1	0	0	85	89	0	0	0	1	0	2
fsh-generated/resources/CodeSystem-ml-response-cs.json	635	17	0	0	3	0	0	0	0	9	0	0	1	1	0	0	0	0	0	0	6	2551	0	0	0	1	0	0
fsh-generated/resources/ValueSet-ml-type-vs.json	412	13	0	0	0	0	0	0	0	140	0	0	0	0	0	0	0	0	0	0	4	5965	0	0	0	0	0	0
fsh-generated/resources/Bundle-f879270e-10ee-11ee-afc7-2e8ac521fb46.json	6764	28	0	0	0	0	0	0	0	985	0	0	0	0	0	0	0	0	0	0	35	63	0	0	0	0	0	1
fsh-generated/resources/StructureDefinition-MLModel.json	1787	14	0	0	0	0	0	301	0	237	0	0	1	0	0	0	0	3	0	0	299	3681	0	0	0	11	1	0
fsh-generated/resources/ValueSet-ml-response-vs.json	411	9	1	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	4	64	0	0	0	0	0	0
fsh-generated/resources/OperationDefinition-predict.json	670	14	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	5	6	0	0	0	5	0	0
fsh-generated/resources/CodeSystem-ml-type-cs.json	901	10	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	6	50	0	0	0	1	0	0
fsh-generated/resources/Bundle-448492b8-0911-11ee-8a5c-2e8ac521fb46.json	3387	13	0	0	0	0	0	0	1	1155	0	0	0	0	0	0	0	0	0	0	16	26	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-MessageForCDSS.json	3249	16	0	0	0	0	0	372	0	196	0	0	0	0	0	0	0	2	0	0	445	2365	0	0	0	10	0	14
fsh-generated/resources/ValueSet-my-vs.json	344	8	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	3	67	0	0	0	1	0	0
fsh-generated/resources/OperationDefinition-quality-check.json	695	9	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	5	5	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-my-cs.json	389	9	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	3	50	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-MessageHeaderCDSS.json	1531	11	0	0	0	0	0	104	0	102	0	0	0	0	0	0	0	0	0	0	164	900	0	0	0	4	0	1
fsh-generated/resources/Bundle-MessageForCDSSRequest.json	13243	30	0	0	0	0	0	0	1	78	0	0	0	0	0	0	0	1	0	0	64	26	0	0	0	0	0	0
